"ABALONE,MIXED SPECIES,RAW",105,1.05
"ABALONE,MXD SP,CKD,FRIED",189,1.89
"ABIYUCH,RAW",69,0.69
"ACEROLA JUICE,RAW",23,0.23
"ACEROLA,(WEST INDIAN CHERRY),RAW",32,0.32
"ACORN FLOUR,FULL FAT",501,5.01
ACORN STEW (APACHE),95,0.95
"ACORNS,DRIED",509,5.09
"ACORNS,RAW",387,3.87
ADOBO FRESCO,271,2.71
"AGAVE,CKD (SOUTHWEST)",135,1.35
"AGAVE,DRIED (SOUTHWEST)",341,3.41
"AGAVE,RAW (SOUTHWEST)",68,0.68
"AGUTUK,FISH W/ SHORTENING (ALASKAN ICE CREAM) (ALASKA NATIVE",470,4.7
"AGUTUK,FISH/BERRY W/ SEAL OIL (ICE CREAM) (ALASKA NATIVE)",353,3.53
"AGUTUK,MEAT-CARIBOU (ALASKAN ICE CREAM) (ALASKA NATIVE)",258,2.58
"ALCOHOLIC BEV,BEER,LT",29,0.29
"ALCOHOLIC BEV,BEER,LT,BUD LT",31,0.31
"ALCOHOLIC BEV,BEER,LT,BUDWEISER SEL",28,0.28
"ALCOHOLIC BEV,BEER,LT,MICHELOB ULTRA",27,0.27
"ALCOHOLIC BEV,BEER,REG,ALL",43,0.43
"ALCOHOLIC BEV,BEER,REG,BUDWEISER",41,0.41
"ALCOHOLIC BEV,CREME DE MENTHE,72 PROOF",371,3.71
"ALCOHOLIC BEV,DAIQUIRI,CND",125,1.25
"ALCOHOLIC BEV,DAIQUIRI,PREPARED-FROM-RECIPE",186,1.86
"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 80 PROOF",231,2.31
"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 86 PROOF",250,2.5
"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 90 PROOF",263,2.63
"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 94 PROOF",275,2.75
"ALCOHOLIC BEV,DISTILLED,ALL 100 PROOF",295,2.95
"ALCOHOLIC BEV,DISTILLED,GIN,90 PROOF",263,2.63
"ALCOHOLIC BEV,DISTILLED,RUM,80 PROOF",231,2.31
"ALCOHOLIC BEV,DISTILLED,VODKA,80 PROOF",231,2.31
"ALCOHOLIC BEV,DISTILLED,WHISKEY,86 PROOF",250,2.5
"ALCOHOLIC BEV,LIQUEUR,COFFEE W/CRM,34 PROOF",327,3.27
"ALCOHOLIC BEV,LIQUEUR,COFFEE,53 PROOF",326,3.26
"ALCOHOLIC BEV,LIQUEUR,COFFEE,63 PROOF",308,3.08
"ALCOHOLIC BEV,PINA COLADA,CND",237,2.37
"ALCOHOLIC BEV,PINA COLADA,PREPARED-FROM-RECIPE",174,1.74
"ALCOHOLIC BEV,RICE (SAKE)",134,1.34
"ALCOHOLIC BEV,TEQUILA SUNRISE,CND",110,1.1
"ALCOHOLIC BEV,WHISKEY SOUR,CND",119,1.19
"ALCOHOLIC BEV,WHISKEY SOUR,PREP FROM ITEM 14028",153,1.53
"ALCOHOLIC BEV,WHISKEY SOUR,PREP FROM ITEM 14530",149,1.49
"ALCOHOLIC BEV,WHISKEY SOUR,PREP W/ H2O,WHISKEY & PDR MIX",164,1.64
"ALCOHOLIC BEV,WINE,COOKING",50,0.5
"ALCOHOLIC BEV,WINE,DSSRT,DRY",152,1.52
"ALCOHOLIC BEV,WINE,DSSRT,SWT",160,1.6
"ALCOHOLIC BEV,WINE,LT",49,0.49
"ALCOHOLIC BEV,WINE,TABLE,ALL",83,0.83
"ALCOHOLIC BEV,WINE,TABLE,RED",85,0.85
"ALCOHOLIC BEV,WINE,TABLE,RED,BARBERA",85,0.85
"ALCOHOLIC BEV,WINE,TABLE,RED,BURGUNDY",86,0.86
"ALCOHOLIC BEV,WINE,TABLE,RED,CABERNET FRANC",83,0.83
"ALCOHOLIC BEV,WINE,TABLE,RED,CABERNET SAUVIGNON",83,0.83
"ALCOHOLIC BEV,WINE,TABLE,RED,CARIGNANE",74,0.74
